numero_alimento,descricao,saturados_g,monoinsaturados_g,poliinsaturados_g,c12_0_g,c14_0_g,c16_0_g,c18_0_g,c20_0_g,c22_0_g,c24_0_g,c14_1_g,c16_1_g,c18_1_g,c20_1_g,c18_2n6_g,c18_3n3_g,c20_4_g,c20_5_g,c22_5_g,c22_6_g,c18_1t_g,c18_2t_g,categoria
1,"Arroz, integral, cozido",0.3,0.4,0.3,,1e-05,0.25,0.02,1e-05,1e-05,1e-05,,,0.36,1e-05,0.31,0.01,,,1e-05,,,,Cereais e derivados
2,"Arroz, integral, cru",0.3,0.5,0.4,,0.01,0.2393333392937978,0.02,0.01,1e-05,1e-05,,1e-05,0.45,1e-05,0.38,0.02,,,,,,,Cereais e derivados
3,"Arroz, tipo 1, cozido",0.2,1e-05,1e-05,,1e-05,0.16,0.01,,,,,,0.04,,0.06,,,,,,,,Cereais e derivados
4,"Arroz, tipo 1, cru",0.1,0.1,0.1,1e-05,1e-05,0.06,0.01,1e-05,1e-05,1e-05,,,0.06,,0.08,1e-05,,,,,,1e-05,Cereais e derivados
5,"Arroz, tipo 2, cozido",0.1,0.1,0.1,,1e-05,0.12,0.02,,,,,1e-05,0.12,1e-05,0.09,1e-05,,,,,,,Cereais e derivados
6,"Arroz, tipo 2, cru",0.1,0.1,0.1,,1e-05,0.06,0.01,1e-05,1e-05,1e-05,,,0.09,1e-05,0.09,1e-05,,,,,,,Cereais e derivados
7,"Aveia, flocos, crua",1.54,3.155666666666667,3.0163333333333333,,0.015333333333333332,1.3703333333333336,0.139,1e-05,,0.015333333333333332,,1e-05,3.101333333333333,0.05433333333333334,2.954333333333333,0.062,,,,,,,Cereais e derivados
8,"Biscoito, doce, maisena",3.9,3.7,2.2,0.03,0.07,2.76,0.94,0.03,0.02,0.01,,0.02,3.7,0.02,2.13,0.1,,,,,1.36,0.22,Cereais e derivados
9,"Biscoito, doce, recheado com chocolate",6.2,6.6,1.7,0.19,0.13,3.11,2.55,0.07,0.07,0.02,,0.02,6.55,0.04,1.68,0.06,,,,,3.84,0.37,Cereais e derivados
10,"Biscoito, doce, recheado com morango",6.1,6.5,1.7,0.07,0.07,3.35,2.41,0.06,,,,0.04,6.4,0.02,1.61,0.06,,,,,4.21,0.32,Cereais e derivados
